Tirana|Tirana|0
Tirana|Buenos_Aires|11627|41.3275|19.8188889|-34.5875|-58.6725
Tirana|Vienna|811|41.3275|19.8188889|48.2|16.366667
Tirana|Sydney|15709|41.3275|19.8188889|-33.861481|151.205475
Tirana|Melbourne|15375|41.3275|19.8188889|-37.813938|144.963425
Tirana|Brisbane|15515|41.3275|19.8188889|-27.47101|153.024292
Tirana|Perth|12744|41.3275|19.8188889|-31.95224|115.861397
Tirana|Adelaide|14723|41.3275|19.8188889|-34.928661|138.598633
Tirana|Sarajevo|304|41.3275|19.8188889|43.85|18.3833333
Tirana|Brussels|1589|41.3275|19.8188889|50.833333|4.333333
Tirana|Sofia|325|41.3275|19.8188889|42.6833333|23.3166667
Tirana|Brazil|9933|41.3275|19.8188889|-23.533333|-46.616667
Tirana|Toronto|7601|41.3275|19.8188889|43.666667|-79.416667
Tirana|Montreal|7106|41.3275|19.8188889|45.5|-73.583333
Tirana|Vancouver|9311|41.3275|19.8188889|49.25|-123.133333
Tirana|Zurich|1117|41.3275|19.8188889|47.366667|8.55
Tirana|Santiago|12417|41.3275|19.8188889|-33.45|-70.666667
Tirana|San_Jose|10419|41.3275|19.8188889|9.893385|-84.105407
Tirana|Nicosia|1364|41.3275|19.8188889|35.1666667|33.3666667
Tirana|Prague|1057|41.3275|19.8188889|50.083333|14.466667
Tirana|Frankfurt|1301|41.3275|19.8188889|50.116667|8.683333
Tirana|Berlin|1334|41.3275|19.8188889|52.516667|13.4
Tirana|Copenhagen|1679|41.3275|19.8188889|55.666667|12.583333
Tirana|Tallinn|2041|41.3275|19.8188889|59.4338889|24.7280556
Tirana|Madrid|1973|41.3275|19.8188889|40.408566|-3.69222
Tirana|Helsinki|2124|41.3275|19.8188889|60.175556|24.934167
Tirana|Paris|1602|41.3275|19.8188889|48.866667|2.333333
Tirana|Marseille|1205|41.3275|19.8188889|43.285413|5.37606
Tirana|Tbilisi|2071|41.3275|19.8188889|41.725|44.7908333
Tirana|Athens|500|41.3275|19.8188889|37.9833333|23.7333333
