	Ashburn_VA3		Ashburn_VA5		Atlanta_GA		Austria_Vienna2		Brazil_Fortaleza1		Brazil_Rio_de_Janeiro		Canada_Toronto		Chicago_IL2		Chicago_IL3		Czech_Republic_Prague		Denmark_Copenhagen		Finland_Helsinki		France_Marseille		France_Marseille2		France_Paris10		Germany_Berlin		Germany_Düsseldorf1		Germany_Frankfurt2		Germany_Frankfurt5		Hong_Kong		Houston_TX		India_Bangalore1		India_Chennai		India_Hyderabad1		India_Mumbai		Italy_Milan2		Japan_Tokyo1		Japan_Tokyo3		Japan_Tokyo5		Los_Angeles_CA		Mexico_Queretaro1		Mexico_Queretaro2		Miami_FL5		Netherlands_Amsterdam2		Netherlands_Amsterdam3		New_York_NY		Norway_Oslo		Phoenix_AZ		Poland_Warsaw		Portland_OR		Salt_Lake_City_UT		San_Francisco_CA		San_Jose_CA5		Singapore		South_Korea_Seoul1		South_Korea_Seoul3		Sweden_Stockholm		Sydney1		Sydney2		Taiwan_Taipei1		Taiwan_Taipei3		Thailand_Bangkok		UK_London3		UK_London4		Brazil_Sao_Paulo		Canada_Quebec		Dallas_TX		Denver_Co		Seattle_WA		Spain_Madrid	
Kansas_City	322.157	Kansas_City	319.019	Dallas	298.424	Belgrade	266.733	Phoenix	833.299	Phoenix	1062.439	Kansas_City	302.219	New_York	283.447	Dallas	293.071	Stockholm	281.637	Ljubljana	291.937	Bratislava	297.074	Zurich	298.407	Brussels	283.592	Zurich	305.316	Chisinau	731.663	Oslo	290.462	Stockholm	283.901	Warsaw	292.052	Melbourne	778.743	Toronto	327.339	Sydney	775.859	Melbourne	931.775	Johannesburg	936.627	Tbilisi	931.173	Prague	274.507	Sydney	706.278	Sydney	704.648	Melbourne	687.536	Saint_Louis	442.733	Saint_Louis	397.033	Miami	395.051	Montreal	352.071	Frankfurt	292.274	Vilnius	282.964	Kansas_City	336.609	Chisinau	305.257	Vancouver	387.879	Warsaw	320.219	Saint_Louis	468.34	Vancouver	352.951	Saint_Louis	466.188	Saint_Louis	462.645	Tokyo	804.647	Bangkok	942.554	Tokyo	936.828	Chisinau	302.562	Taipei	993.037	Taipei	993.523	Melbourne	724.218	Melbourne	754.073	Auckland	709.803	Steinsel	322.581	Stockholm	311.073	Phoenix	1141.956	Kansas_City	423.149	Salt_Lake_City	437.999	Atlanta	426.582	Saint_Louis	509.739	Prague	294.032	
Dallas	345.134	Dallas	341.573	Montreal	310.073	Vilnius	267.229	Salt_Lake_City	862.796	Taipei	1073.751	Dallas	332.55	Montreal	294.008	Montreal	296.586	Zurich	283.282	Paris	293.992	Chisinau	301.668	Steinsel	300.989	Steinsel	290.208	Bratislava	305.41	Marseille	737.237	Milan	291.736	Marseille	286.018	Oslo	292.375	Sydney	796.272	Salt_Lake_City	327.43	Seoul	778.723	Sydney	954.902	Melbourne	945.069	Johannesburg	947.71	Steinsel	274.618	Kuala_Lumpur	718.768	Kuala_Lumpur	725.666	Auckland	708.613	Atlanta	446.533	Miami	399.078	Kansas_City	395.67	Toronto	353.818	Oslo	293.622	Milan	284.122	Dallas	365.095	Warsaw	307.163	Atlanta	394.22	Berlin	324.448	Atlanta	498.094	Atlanta	382.594	Atlanta	482.957	Atlanta	466.846	Sydney	827.283	Tokyo	955.179	Bangkok	937.26	Ljubljana	303.428	Hong_Kong	1013.465	Hong_Kong	1018.426	Sydney	740.589	Sydney	769.84	Brisbane	710.876	Prague	322.591	Warsaw	311.976	Saint_Louis	1143.913	Dallas	449.136	Buffalo	449.085	Chicago	430.196	Miami	527.067	Oslo	294.032	
Denver	401.279	Denver	396.55	Denver	341.621	Dublin	267.535	Denver	880.893	Saint_Louis	1075.295	Denver	370.704	Denver	311.231	Denver	327.902	Brussels	284.387	Tallinn	294.43	Sarajevo	302.879	Vilnius	304.17	Prague	293.929	Oslo	306.377	Milan	739.799	Steinsel	293.1	Zurich	286.154	Frankfurt	295.095	Singapore	807.379	Manassas	341.645	Kuala_Lumpur	800.483	Tokyo	974.861	Sydney	967.209	Tel_Aviv	959.839	Vilnius	275.065	Auckland	731.055	Auckland	726.928	Kuala_Lumpur	717.17	Chicago	474.384	Atlanta	427.156	Atlanta	425.219	Denver	365.041	Warsaw	295.994	Steinsel	287.508	Denver	417.489	Ljubljana	309.719	Chicago	411.709	Belgrade	325.996	Miami	502.377	Chicago	384.509	Miami	504.396	Miami	505.23	Brisbane	911.324	Hong_Kong	991.131	Hong_Kong	981.189	Sarajevo	306.219	Bangkok	1060.32	Bangkok	1057.765	Auckland	762.46	Auckland	774.739	Seoul	718.043	Stockholm	322.645	Steinsel	312.013	Taipei	1148.197	Mexico	467.036	Toronto	450.043	Los_Angeles	450.601	Atlanta	529.675	Madrid	294.549	
Mexico	457.738	Phoenix	455.623	Phoenix	388.955	Ljubljana	267.805	Atlanta	882.976	Salt_Lake_City	1097.741	Mexico	415.933	Phoenix	370.108	Phoenix	388.084	Madrid	286.036	Frankfurt	299.159	Berlin	303.348	Ljubljana	307.251	Lisbon	297.681	Vilnius	310.959	Warsaw	741.296	Zurich	294.111	Brussels	287.35	Belgrade	297.095	Auckland	835.567	New_York	352.729	Tokyo	844.32	Johannesburg	986.82	Tbilisi	1008.101	Melbourne	969.799	Ljubljana	276.014	Brisbane	745.268	Brisbane	739.503	Brisbane	724.847	Miami	479.707	San_Jose	437.326	San_Jose	434.762	New_York	365.555	Belgrade	304.631	Zurich	290.786	Mexico	470.644	Sarajevo	311.935	Miami	417.988	Ljubljana	326.49	Chicago	514.685	Miami	389.273	Chicago	506.869	Chicago	507.21	Seoul	918.088	Kuala_Lumpur	1013.7	Kuala_Lumpur	1007.248	Riga	306.806	Kuala_Lumpur	1101.249	Kuala_Lumpur	1105.238	Brisbane	769.054	Brisbane	788.93	Tokyo	761.649	Milan	323.934	Bratislava	312.643	Salt_Lake_City	1176.155	Denver	472.7	San_Francisco	461.431	Charlotte	459.716	Chicago	546.772	Belgrade	296.908	
Phoenix	460.73	Mexico	461.839	Mexico	407.147	London	272.574	Dallas	889.267	Los_Angeles	1114.441	Phoenix	427.796	Salt_Lake_City	381.537	Salt_Lake_City	397.546	Ljubljana	293.615	Warsaw	300.239	Belgrade	305.204	Prague	308.687	Stockholm	298.047	Marseille	311.533	Athens	748.384	Ljubljana	296.13	Ljubljana	292.067	Prague	305.795	Brisbane	836.769	Mexico	353.886	Singapore	874.674	Seoul	1002.711	Brisbane	1013.591	Nicosia	972.832	Sarajevo	281.558	Singapore	885.87	Singapore	866.136	Singapore	878.198	Toronto	512.248	Chicago	448.987	Chicago	445.637	Phoenix	381.167	Brussels	305.563	Ljubljana	295.497	Phoenix	478.184	Amsterdam	312.66	Buffalo	464.106	Tallinn	329.919	Toronto	560.717	Toronto	436.232	Toronto	547.641	Toronto	531.575	Auckland	936.389	Singapore	1112.937	Singapore	1101.207	Berlin	307.221	Singapore	1213.812	Singapore	1222.039	Singapore	829.934	Singapore	876.93	Singapore	791.831	Warsaw	328.045	Marseille	314.833	Montreal	1194.624	Phoenix	514.682	Manassas	461.984	Toronto	471.999	Charlotte	584.165	London	301.187	
Salt_Lake_City	475.453	Salt_Lake_City	473.473	Salt_Lake_City	417.074	Zagreb	273.015	Montreal	891.194	Denver	1118.469	Salt_Lake_City	444.731	Mexico	405.304	Mexico	411.73	Belgrade	297.047	Steinsel	301.496	Riga	306.865	Lisbon	310.011	Oslo	298.33	Lisbon	312.773	Amsterdam	748.65	Brussels	296.93	Bratislava	298.796	Steinsel	309.605	Mumbai	1084.298	San_Francisco	360.349	Johannesburg	1038.561	Tbilisi	1006.791	Auckland	1017.209	Reykjavik	980.749	Oslo	281.777	Vancouver	1029.821	Vancouver	1021.128	Vancouver	1051.941	Buffalo	518.173	Charlotte	483.419	Charlotte	483.429	Salt_Lake_City	424.463	Milan	308.828	Oslo	304.003	Salt_Lake_City	496.816	Belgrade	314.687	Toronto	464.32	Bucharest	337.902	San_Jose	564.0	Buffalo	439.019	Buffalo	551.33	Buffalo	541.133	Mumbai	1027.992	Johannesburg	1243.207	Johannesburg	1239.224	Belgrade	311.964	Johannesburg	1322.337	Johannesburg	1323.768	Vancouver	1150.625	Mumbai	1196.538	Johannesburg	1085.295	Vilnius	328.948	Milan	317.024	Denver	1196.77	Salt_Lake_City	538.52	Seattle	462.138	Buffalo	473.978	Toronto	586.715	Brussels	302.177	
San_Francisco	538.843	San_Francisco	532.478	San_Francisco	466.268	Madrid	278.518	Chicago	897.017	Atlanta	1129.471	San_Francisco	497.608	San_Francisco	437.092	San_Francisco	456.85	Warsaw	297.407	Berlin	302.246	Amsterdam	311.731	Stockholm	310.49	Vilnius	298.971	Steinsel	313.216	Zagreb	748.996	Warsaw	302.727	Belgrade	300.744	Vienna	309.818	Vancouver	1140.236	Montreal	376.931	Mumbai	1081.196	Brisbane	1013.255	Tokyo	1020.12	Sydney	993.029	Stockholm	282.794	Seattle	1050.998	Seattle	1042.112	Seattle	1069.734	Charlotte	521.663	Buffalo	489.018	Buffalo	488.073	San_Francisco	442.469	Prague	310.391	Warsaw	304.21	San_Francisco	554.444	Riga	315.591	Charlotte	465.664	Amsterdam	338.292	Buffalo	564.701	Charlotte	440.202	Charlotte	555.055	Charlotte	547.97	Seattle	1073.172	Santiago	1339.041	Santiago	1311.429	Amsterdam	317.94	Buenos_Aires	1359.445	Buenos_Aires	1375.744	Mumbai	1159.27	Vancouver	1196.574	Mumbai	1113.203	Belgrade	329.325	Prague	317.153	Atlanta	1198.172	San_Francisco	567.399	Montreal	472.798	Vancouver	485.279	Buffalo	590.466	Stockholm	302.584	
Seattle	550.755	Seattle	547.775	Seattle	481.311	Steinsel	279.397	Kansas_City	899.277	Dallas	1129.648	Seattle	505.022	Seattle	453.423	Seattle	470.841	Oslo	299.667	Belgrade	302.932	London	317.948	Oslo	311.762	Ljubljana	301.629	Ljubljana	315.076	Nicosia	752.278	Belgrade	302.932	Warsaw	303.667	Milan	310.95	Johannesburg	1152.252	Seattle	383.364	Santiago	1220.807	Auckland	1021.124	Seoul	1024.08	Tokyo	1027.139	Belgrade	282.906	San_Francisco	1061.922	San_Francisco	1054.322	San_Francisco	1079.223	New_York	553.577	Toronto	492.455	Toronto	490.223	Seattle	458.171	Steinsel	310.959	Prague	306.027	Seattle	565.628	London	322.987	Manassas	497.017	Riga	341.96	Charlotte	564.807	Manassas	474.128	San_Jose	587.496	San_Jose	580.725	Vancouver	1076.097	Buenos_Aires	1373.136	Mumbai	1337.496	Lisbon	324.768	Santiago	1395.21	Santiago	1396.285	Seattle	1172.915	Johannesburg	1213.928	Santiago	1240.384	Vienna	330.132	Belgrade	317.244	Tel_Aviv	1202.288	Seattle	572.288	New_York	476.417	Montreal	489.736	Montreal	608.824	Ljubljana	305.294	
Los_Angeles	569.116	Los_Angeles	563.02	Los_Angeles	495.556	Warsaw	280.299	Los_Angeles	904.069	Kansas_City	1145.192	Los_Angeles	539.118	Los_Angeles	471.576	Los_Angeles	488.768	Bratislava	300.971	Sarajevo	304.082	Lisbon	320.289	Sarajevo	315.193	Sarajevo	304.528	Prague	324.307	Stockholm	752.436	Vienna	308.584	Oslo	303.67	Berlin	312.87	Seattle	1156.247	Los_Angeles	390.274	San_Jose	1268.583	Tel_Aviv	1033.42	Tel_Aviv	1042.571	Ukraine	1027.337	Brussels	283.882	Los_Angeles	1087.105	Los_Angeles	1076.638	Santiago	1105.536	Manassas	557.28	Montreal	510.115	Montreal	510.051	Los_Angeles	493.795	Marseille	312.772	Belgrade	306.773	Los_Angeles	589.837	Steinsel	325.262	New_York	498.503	Skopje	344.8	Montreal	600.805	Montreal	476.8	New_York	590.768	New_York	581.058	Los_Angeles	1080.694	Mumbai	1392.774	Buenos_Aires	1366.055	London	325.714	Mumbai	1418.964	Mumbai	1421.03	San_Francisco	1183.874	Seattle	1223.351	Vancouver	1245.51	Ljubljana	335.528	Ljubljana	319.38	Los_Angeles	1203.514	Los_Angeles	617.438	Los_Angeles	481.792	Manassas	496.612	San_Jose	617.556	Warsaw	305.951	
Vancouver	604.846	Vancouver	600.883	Vancouver	536.945	Stockholm	281.667	Charlotte	908.283	Chicago	1149.303	Vancouver	551.722	Vancouver	513.867	Vancouver	529.526	Prague	300.984	Chisinau	304.775	Steinsel	320.682	Bratislava	316.111	Belgrade	305.838	Sarajevo	326.012	Sarajevo	754.128	Prague	311.432	Prague	304.426	Brussels	314.622	San_Francisco	1164.749	Vancouver	459.634	Buenos_Aires	1285.869	Nicosia	1043.638	Nicosia	1058.536	San_Jose	1030.296	Vienna	289.763	San_Jose	1097.392	San_Jose	1085.658	Los_Angeles	1106.484	Montreal	574.308	Manassas	519.598	Manassas	517.707	Vancouver	506.351	Vienna	314.953	Bratislava	308.321	Vancouver	614.754	Lisbon	329.88	Montreal	517.731	Steinsel	346.709	New_York	604.606	New_York	477.5	Manassas	592.829	Manassas	587.541	San_Francisco	1084.381	Brazil	1436.217	Brazil	1429.967	Steinsel	328.806	Brazil	1472.086	Brazil	1485.595	Johannesburg	1192.935	San_Francisco	1226.387	San_Jose	1246.702	Marseille	336.848	Vienna	322.949	Dallas	1209.58	Vancouver	619.548	Vancouver	548.275	New_York	513.183	Manassas	625.359	Vilnius	306.474	
