	Ashburn_VA3		Ashburn_VA5		Atlanta_GA		Austria_Vienna2		Brazil_Fortaleza1		Brazil_Rio_de_Janeiro		Canada_Toronto		Chicago_IL2		Chicago_IL3		Czech_Republic_Prague		Denmark_Copenhagen		Finland_Helsinki		France_Marseille		France_Marseille2		France_Paris10		Germany_Berlin		Germany_Düsseldorf1		Germany_Frankfurt2		Germany_Frankfurt5		Hong_Kong		Houston_TX		India_Bangalore1		India_Chennai		India_Hyderabad1		India_Mumbai		Italy_Milan2		Japan_Tokyo1		Japan_Tokyo3		Japan_Tokyo5		Los_Angeles_CA		Mexico_Queretaro1		Mexico_Queretaro2		Miami_FL5		Netherlands_Amsterdam2		Netherlands_Amsterdam3		New_York_NY		Norway_Oslo		Phoenix_AZ		Poland_Warsaw		Portland_OR		Salt_Lake_City_UT		San_Francisco_CA		San_Jose_CA5		Singapore		South_Korea_Seoul1		South_Korea_Seoul3		Sweden_Stockholm		Sydney1		Sydney2		Taiwan_Taipei1		Taiwan_Taipei3		Thailand_Bangkok		UK_London3		UK_London4		Brazil_Sao_Paulo		Canada_Quebec		Dallas_TX		Denver_Co		Seattle_WA		Spain_Madrid	
San_Jose	648.308	San_Jose	660.505	San_Jose	631.007	Bucharest	281.747	Buffalo	928.224	Montreal	1149.534	San_Jose	621.843	San_Jose	635.498	San_Jose	637.018	Vienna	305.26	Milan	310.634	Paris	328.144	Belgrade	317.279	Vienna	308.176	Vienna	328.231	Copenhagen	758.142	Marseille	312.923	Vienna	306.862	Ljubljana	314.778	San_Jose	1170.943	San_Jose	590.658	Vancouver	1301.858	Reykjavik	1046.044	San_Jose	1073.363	Istanbul	1045.761	Zagreb	290.509	Santiago	1106.478	Santiago	1099.44	San_Jose	1108.643	San_Jose	608.286	New_York	534.895	New_York	532.275	San_Jose	537.559	Berlin	315.498	Tallinn	309.05	Dublin	641.036	Paris	332.117	San_Jose	591.169	Sofia	349.135	Manassas	605.054	San_Jose	583.058	Montreal	602.994	Montreal	594.807	Salt_Lake_City	1137.373	San_Jose	1468.729	San_Jose	1445.433	Reykjavik	329.009	San_Jose	1485.366	San_Jose	1489.01	Los_Angeles	1204.083	Santiago	1226.867	San_Francisco	1276.874	Oslo	339.222	Oslo	333.755	Chicago	1213.468	San_Jose	659.695	San_Jose	665.907	San_Jose	617.699	New_York	632.283	Tirana	306.57	
Dublin	664.006	Dublin	665.355	Dublin	729.982	Marseille	282.999	Manassas	944.321	Mumbai	1154.732	Dublin	675.393	Dublin	730.285	Dublin	731.605	Sarajevo	311.048	Zurich	313.485	Bucharest	328.238	Zagreb	320.8	Bratislava	310.337	Belgrade	329.041	Sofia	759.738	Helsinki	318.334	Sarajevo	314.548	Helsinki	321.44	Los_Angeles	1194.935	Lisbon	809.931	Brazil	1303.14	San_Jose	1066.852	Reykjavik	1080.89	Budapest	1047.213	Bratislava	294.415	Phoenix	1144.594	Mexico	1133.348	Phoenix	1161.197	Tokyo	890.331	Brazil	779.04	Brazil	774.284	Reykjavik	785.229	Ljubljana	315.79	Vienna	311.792	Lisbon	660.545	Bucharest	334.846	Lisbon	917.45	London	350.975	Tokyo	837.94	Reykjavik	888.797	Tokyo	853.732	Tokyo	848.587	Reykjavik	1142.685	Vancouver	1497.332	Vancouver	1480.436	Skopje	330.641	Vancouver	1541.867	Vancouver	1546.599	San_Jose	1206.338	San_Jose	1238.991	Seattle	1276.962	Berlin	349.127	Tallinn	336.21	Kansas_City	1219.481	Dublin	744.865	Lisbon	864.755	Lisbon	883.567	Santiago	918.97	Zurich	306.646	
Lisbon	680.17	Lisbon	679.729	Lisbon	735.698	Oslo	283.215	Toronto	953.504	Charlotte	1160.631	Lisbon	681.062	Lisbon	735.857	Lisbon	739.159	Tallinn	314.137	Brussels	313.731	Skopje	328.801	Vienna	322.916	Zagreb	312.612	Warsaw	337.121	Skopje	761.925	Tallinn	319.222	Tallinn	316.649	Marseille	323.974	Santiago	1217.318	Dublin	817.937	Seattle	1334.951	Ukraine	1092.152	Ukraine	1103.307	Brisbane	1054.972	Warsaw	296.054	Mexico	1146.158	Phoenix	1140.077	Mexico	1161.794	Reykjavik	953.138	Santiago	781.127	Santiago	776.901	Lisbon	786.154	Helsinki	321.465	Sarajevo	322.126	Madrid	665.803	Reykjavik	335.659	Reykjavik	917.75	Prague	351.634	Santiago	882.998	Lisbon	889.637	Taipei	915.178	Taipei	914.517	Phoenix	1143.84	Seattle	1533.909	Seattle	1517.006	Bucharest	331.158	Seattle	1550.183	Seattle	1555.026	Santiago	1221.356	Los_Angeles	1258.455	Buenos_Aires	1309.743	Lisbon	349.472	Berlin	337.554	Mumbai	1222.637	Lisbon	745.01	Reykjavik	876.743	Reykjavik	883.797	Tokyo	919.487	Vienna	307.933	
Madrid	689.273	Madrid	694.153	Madrid	754.39	Brussels	285.927	New_York	977.004	Seoul	1171.214	Madrid	696.148	Madrid	759.659	Madrid	759.515	Berlin	317.29	Prague	319.119	Reykjavik	329.498	Warsaw	326.959	Warsaw	315.718	Zagreb	337.686	Berlin	762.883	Berlin	322.469	Berlin	323.09	Sarajevo	325.854	Phoenix	1235.673	Reykjavik	825.56	San_Francisco	1337.526	Istanbul	1116.659	Istanbul	1141.303	Seoul	1061.625	Lisbon	299.73	Salt_Lake_City	1154.509	Salt_Lake_City	1148.306	Mumbai	1163.838	Lisbon	953.541	Reykjavik	869.853	Reykjavik	866.933	Dublin	789.377	Tallinn	321.703	Lisbon	328.951	San_Jose	670.182	Frankfurt	337.423	Dublin	943.54	Lisbon	352.106	Taipei	886.618	Dublin	914.917	Santiago	922.78	Santiago	922.52	Tbilisi	1164.24	San_Francisco	1536.761	San_Francisco	1517.727	Paris	337.416	San_Francisco	1566.737	San_Francisco	1569.927	Mexico	1261.124	Mexico	1301.697	Brazil	1312.206	Sarajevo	357.33	Sarajevo	345.796	Charlotte	1223.234	Madrid	750.83	Dublin	879.257	Dublin	907.102	Brazil	927.524	Istanbul	308.033	
London	706.502	London	705.908	Reykjavik	762.215	Sofia	295.273	Johannesburg	995.571	Tel_Aviv	1186.92	Reykjavik	703.755	Reykjavik	761.442	Reykjavik	761.623	Zagreb	325.8	Lisbon	319.236	Prague	330.66	Bucharest	332.326	Bucharest	325.539	Tallinn	349.93	Belgrade	765.267	Sarajevo	322.532	Zagreb	329.61	Tallinn	327.406	Mexico	1240.26	Madrid	842.596	Los_Angeles	1378.074	Vancouver	1117.229	Budapest	1142.376	Auckland	1063.873	Bucharest	301.99	Mumbai	1165.388	Mumbai	1154.017	Salt_Lake_City	1169.552	Santiago	956.262	Tel_Aviv	885.581	Nicosia	882.206	Madrid	801.353	Sarajevo	329.218	Berlin	329.829	London	680.947	Zurich	339.887	Brazil	948.34	Zurich	353.291	Brazil	899.109	Madrid	933.499	Brazil	939.658	Brazil	938.38	San_Jose	1168.654	Mexico	1568.839	Mexico	1554.579	Prague	338.194	Los_Angeles	1575.143	Los_Angeles	1580.316	Phoenix	1263.41	Phoenix	1306.854	Los_Angeles	1312.995	Tallinn	359.347	Lisbon	347.337	Tbilisi	1225.932	Reykjavik	755.574	Madrid	900.393	Madrid	922.092	Taipei	957.517	Frankfurt	309.663	
Reykjavik	709.609	Paris	713.39	London	770.549	Chisinau	296.81	Tel_Aviv	996.77	Buffalo	1186.928	London	719.341	London	770.342	London	772.033	Bucharest	333.133	Marseille	322.651	Frankfurt	331.529	Tallinn	349.648	Chisinau	344.716	Chisinau	351.529	Reykjavik	765.483	Lisbon	331.89	Bucharest	336.614	Bucharest	331.412	Salt_Lake_City	1255.974	London	859.34	Mexico	1380.274	San_Francisco	1123.321	Vancouver	1162.187	Tirana	1083.478	Sofia	321.093	Johannesburg	1179.184	Brazil	1170.734	Johannesburg	1178.942	Taipei	958.9	Lisbon	890.695	Lisbon	887.487	Tallinn	824.244	Bucharest	330.483	Zagreb	334.83	Paris	688.988	Skopje	340.884	Santiago	949.156	Paris	353.381	Hong_Kong	957.133	Brazil	937.479	Reykjavik	970.872	Hong_Kong	938.801	Tel_Aviv	1174.363	Los_Angeles	1577.687	Los_Angeles	1562.73	Frankfurt	339.873	Mexico	1626.95	Mexico	1633.236	Salt_Lake_City	1270.399	Brazil	1314.356	Mexico	1340.623	Bucharest	366.039	Helsinki	355.747	Buffalo	1252.13	Tallinn	778.326	Tallinn	914.024	Tel_Aviv	931.118	Reykjavik	961.877	Reykjavik	309.739	
Paris	715.37	Reykjavik	716.493	Paris	778.041	Tirana	319.656	Taipei	1011.135	Manassas	1193.22	Tallinn	726.044	Paris	778.923	Paris	780.255	Helsinki	342.263	Riga	324.721	Zurich	333.522	Chisinau	350.495	Tallinn	345.048	Bucharest	355.298	Prague	770.349	Zagreb	336.43	Lisbon	337.336	Sofia	333.723	Brazil	1291.553	Tallinn	861.695	Phoenix	1413.285	Budapest	1123.891	Santiago	1169.596	Lisbon	1088.839	Chisinau	323.473	Brazil	1199.289	Johannesburg	1178.902	Brazil	1210.17	Brazil	966.708	Nicosia	892.206	Tel_Aviv	899.518	Nicosia	828.456	Sofia	338.652	Helsinki	340.986	Reykjavik	693.221	Milan	340.892	Tokyo	953.049	Milan	354.122	Reykjavik	966.972	Santiago	940.175	Hong_Kong	973.128	Reykjavik	952.346	Nicosia	1174.441	Phoenix	1618.186	Phoenix	1598.987	Sofia	340.439	Salt_Lake_City	1630.872	Salt_Lake_City	1634.409	Brazil	1296.177	Buenos_Aires	1316.143	Phoenix	1353.931	Zagreb	369.066	Bucharest	356.13	Manassas	1257.104	London	782.053	London	914.909	Tallinn	933.189	Lisbon	976.372	Sofia	314.339	
Tallinn	715.857	Tallinn	721.405	Tallinn	782.759	Skopje	320.355	Tbilisi	1035.601	Tokyo	1194.397	Paris	729.529	Tallinn	783.067	Tallinn	783.118	Lisbon	342.319	Zagreb	326.771	Sofia	335.824	Sofia	354.192	Sofia	346.502	Berlin	357.507	Budapest	771.101	Chisinau	339.993	Helsinki	342.073	Lisbon	343.511	Denver	1298.724	Paris	868.046	Salt_Lake_City	1425.022	Seattle	1125.845	San_Francisco	1173.798	Vancouver	1098.667	Tallinn	327.367	Denver	1210.929	Buenos_Aires	1181.066	Buenos_Aires	1218.129	Dublin	986.324	Dublin	930.758	Madrid	928.032	London	840.035	Zagreb	344.13	Bucharest	343.515	Tallinn	694.69	Prague	340.911	Madrid	967.096	Zagreb	355.081	Lisbon	984.73	Nicosia	941.218	Lisbon	979.711	Lisbon	959.23	Denver	1175.839	Salt_Lake_City	1630.645	Salt_Lake_City	1612.344	Zurich	342.685	Phoenix	1656.282	Phoenix	1659.186	Buenos_Aires	1307.396	Salt_Lake_City	1322.978	Salt_Lake_City	1367.727	Sofia	369.526	Zagreb	358.964	Seoul	1257.517	Helsinki	794.471	Stockholm	926.585	Nicosia	934.01	Hong_Kong	992.081	Steinsel	316.447	
Brussels	727.299	Brussels	727.659	Brussels	787.861	Lisbon	321.637	Nicosia	1052.263	Toronto	1208.362	Brussels	734.262	Brussels	786.318	Brussels	788.408	Sofia	344.524	Bucharest	327.413	Milan	336.109	Reykjavik	360.85	Tirana	355.746	Helsinki	359.789	London	773.951	Bucharest	341.142	Sofia	346.966	Zagreb	345.808	Buenos_Aires	1325.374	Brussels	873.266	Tbilisi	1431.826	Los_Angeles	1151.924	Seattle	1179.417	San_Francisco	1106.511	Tirana	333.919	Buenos_Aires	1212.611	Denver	1201.795	Denver	1228.617	Hong_Kong	1000.255	Madrid	934.822	Dublin	928.046	Helsinki	840.529	Lisbon	347.004	Sofia	355.312	Brussels	702.372	Brussels	341.546	Nicosia	970.16	Reykjavik	355.111	Tel_Aviv	1003.258	Tallinn	948.736	Dublin	1016.44	Dublin	1000.021	Johannesburg	1184.472	Denver	1690.76	Denver	1676.348	Milan	343.824	Denver	1707.207	Denver	1712.052	Denver	1324.6	Denver	1377.679	Tbilisi	1401.601	Helsinki	374.952	Sofia	360.593	Toronto	1272.171	Stockholm	795.277	Paris	928.024	Brazil	942.136	Tel_Aviv	992.608	Chisinau	331.29	
Stockholm	731.506	Stockholm	737.88	Stockholm	797.538	Berlin	322.983	Mumbai	1063.958	Tbilisi	1214.806	Stockholm	746.063	Stockholm	801.216	Stockholm	802.499	Riga	352.69	Vienna	328.629	Brussels	337.974	Tirana	364.033	Reykjavik	357.014	Sofia	361.407	Vienna	774.38	Sofia	349.643	Chisinau	351.683	Chisinau	345.918	Tbilisi	1332.4	Stockholm	878.589	Tel_Aviv	1454.918	Mexico	1153.858	Tirana	1182.798	Bucharest	1109.688	Skopje	339.748	Kansas_City	1288.005	Kansas_City	1281.143	Kansas_City	1305.116	Nicosia	1004.141	Tbilisi	943.748	Tbilisi	934.948	Tel_Aviv	843.982	Riga	349.128	Riga	357.826	Stockholm	712.467	Sofia	345.106	Tallinn	980.433	Frankfurt	358.173	Nicosia	1010.021	Tel_Aviv	953.138	Nicosia	1017.931	Nicosia	1001.899	Mexico	1201.526	Tbilisi	1707.469	Tbilisi	1691.003	Zagreb	345.67	Dallas	1774.366	Dallas	1779.975	Kansas_City	1399.042	Kansas_City	1451.265	Tel_Aviv	1414.405	Chisinau	394.275	Skopje	380.988	Nicosia	1274.069	Paris	795.66	Brussels	930.697	London	946.82	Nicosia	1001.256	Tallinn	334.106	
Helsinki	734.917	Amsterdam	741.973	Amsterdam	803.212	Tallinn	324.77	Ukraine	1100.612	New_York	1225.683	Helsinki	746.594	Amsterdam	805.225	Marseille	804.862	Chisinau	352.785	Sofia	337.578	Zagreb	338.395	Berlin	365.238	Berlin	357.752	Riga	381.228	Zurich	776.677	Riga	355.174	Riga	355.826	Skopje	351.346	Tel_Aviv	1357.371	Marseille	880.206	Denver	1483.694	Tirana	1154.243	Mexico	1186.196	Seattle	1110.326	Istanbul	342.137	Dallas	1292.205	Dallas	1282.508	Dallas	1309.403	Madrid	1010.306	Tokyo	944.835	Ukraine	939.973	Stockholm	844.357	Chisinau	353.55	Chisinau	363.706	Helsinki	713.898	Zagreb	347.306	Tel_Aviv	984.451	Vienna	361.414	Seoul	1018.734	London	959.31	Tel_Aviv	1020.278	Tel_Aviv	1002.693	Lisbon	1208.368	Tel_Aviv	1718.46	Tel_Aviv	1706.553	Brussels	346.626	Kansas_City	1787.654	Kansas_City	1791.835	Dallas	1401.325	Dallas	1454.976	Denver	1421.946	Skopje	396.191	Chisinau	383.822	Tokyo	1279.093	Brussels	800.14	Nicosia	933.008	Stockholm	951.591	Dublin	1016.65	Bratislava	339.96	
Amsterdam	739.013	Marseille	742.36	Marseille	803.941	Istanbul	338.219	Reykjavik	1105.792	Nicosia	1252.809	Amsterdam	755.626	Marseille	806.358	Amsterdam	805.002	Skopje	358.286	Skopje	343.097	Vienna	342.967	Istanbul	365.412	Istanbul	361.704	Reykjavik	383.399	Dublin	777.993	Skopje	364.994	Skopje	364.531	Riga	353.616	Reykjavik	1361.097	Nicosia	880.97	Nicosia	1488.264	Lisbon	1158.531	Brazil	1199.489	Riga	1116.746	Riga	343.49	Saint_Louis	1317.473	Saint_Louis	1309.146	Saint_Louis	1335.786	Tel_Aviv	1010.973	Ukraine	947.901	Tokyo	941.994	Paris	849.397	Skopje	362.079	Skopje	370.651	Amsterdam	716.79	Marseille	350.329	London	987.036	Istanbul	363.602	Dublin	1022.826	Brussels	968.388	Madrid	1035.774	Madrid	1020.9	Istanbul	1211.87	Nicosia	1756.849	Nicosia	1740.534	Marseille	346.939	Tel_Aviv	1816.645	Tel_Aviv	1819.94	Saint_Louis	1422.573	Saint_Louis	1469.563	Nicosia	1452.564	Riga	400.286	Riga	385.569	New_York	1293.105	Nicosia	802.523	Tel_Aviv	937.542	Ukraine	956.166	Madrid	1027.463	Skopje	340.331	
Marseille	740.801	Helsinki	744.054	Copenhagen	807.236	Riga	344.99	Tokyo	1123.178	Ukraine	1280.302	Copenhagen	757.951	Copenhagen	810.124	Helsinki	808.624	Tirana	368.776	Reykjavik	353.443	Marseille	344.398	Riga	367.098	Riga	364.341	Tirana	389.803	Paris	778.141	Tirana	381.365	Tirana	374.727	Tirana	363.362	Kansas_City	1364.097	Amsterdam	888.953	Ukraine	1499.241	Phoenix	1163.532	Lisbon	1202.449	Sarajevo	1117.314	Berlin	344.41	Miami	1321.103	Miami	1309.296	Miami	1340.918	Tallinn	1019.513	Tallinn	950.252	Istanbul	946.457	Brussels	857.24	Tirana	368.788	Tirana	379.66	Copenhagen	720.538	Vienna	352.728	Brussels	993.077	Brussels	364.694	Madrid	1037.967	Paris	968.757	Seoul	1038.241	Tallinn	1027.56	Ukraine	1213.404	Dallas	1761.767	Kansas_City	1746.927	Istanbul	348.628	Atlanta	1823.629	Atlanta	1829.163	Miami	1425.621	Tbilisi	1470.911	Reykjavik	1457.896	Reykjavik	401.738	Tirana	392.852	Ukraine	1295.372	Copenhagen	811.468	Marseille	938.492	Santiago	960.688	Ukraine	1027.567	Riga	360.227	
Copenhagen	743.345	Copenhagen	745.848	Helsinki	809.038	Helsinki	351.401	Seoul	1151.763	Hong_Kong	1304.648	Marseille	758.528	Helsinki	811.268	Copenhagen	810.813	Istanbul	380.991	Tirana	361.491	Istanbul	350.617	Skopje	371.545	Skopje	366.519	Istanbul	390.036	Ljubljana	780.25	Reykjavik	390.247	Istanbul	383.665	Athens	382.855	Nicosia	1369.153	Copenhagen	891.057	Reykjavik	1508.857	Salt_Lake_City	1179.217	Skopje	1211.959	Skopje	1117.548	Reykjavik	350.711	Atlanta	1333.233	Atlanta	1323.463	Atlanta	1351.319	London	1029.942	Taipei	955.356	Tallinn	948.034	Marseille	864.424	Reykjavik	388.87	Reykjavik	380.216	Marseille	723.644	Istanbul	357.114	Marseille	994.007	Tirana	366.386	Kuala_Lumpur	1040.945	Stockholm	969.623	Tallinn	1044.768	Kuala_Lumpur	1029.501	Kansas_City	1233.364	Kansas_City	1762.379	Dallas	1747.135	Vienna	351.047	Miami	1840.065	Miami	1846.47	Tbilisi	1429.503	Miami	1474.12	Ukraine	1464.816	Tirana	402.685	Reykjavik	396.478	Reykjavik	1338.47	Amsterdam	813.638	Copenhagen	944.022	Paris	961.376	Tallinn	1032.832	Budapest	370.007	
Berlin	755.945	Warsaw	760.591	Vilnius	821.311	Reykjavik	366.165	Istanbul	1183.316	Reykjavik	1312.999	Nicosia	761.674	Warsaw	821.628	Nicosia	820.126	Reykjavik	387.016	Istanbul	364.14	Tirana	351.947	Helsinki	376.181	Helsinki	373.566	Skopje	391.314	Frankfurt	782.281	Istanbul	391.727	Reykjavik	387.797	Istanbul	389.277	Dallas	1372.427	Helsinki	893.052	Kansas_City	1548.591	Riga	1181.96	Los_Angeles	1212.454	Chisinau	1117.761	Helsinki	359.71	Chicago	1359.443	Chicago	1352.255	Chicago	1379.813	Marseille	1032.193	Istanbul	955.94	Taipei	953.514	Copenhagen	865.339	Istanbul	391.528	Istanbul	391.174	Berlin	734.533	Tirana	359.271	Paris	994.642	Athens	367.61	Ukraine	1043.706	Marseille	972.115	Kuala_Lumpur	1055.223	Istanbul	1035.415	Budapest	1239.352	Miami	1762.787	Miami	1748.228	Tirana	352.344	Saint_Louis	1847.828	Saint_Louis	1852.219	Tel_Aviv	1438.001	Tel_Aviv	1480.626	Kansas_City	1488.933	Istanbul	419.264	Istanbul	409.36	Hong_Kong	1351.756	Warsaw	817.575	Amsterdam	944.66	Brussels	962.911	Istanbul	1047.505	Berlin	377.847	
Warsaw	756.255	Berlin	763.153	Nicosia	821.81	Athens	369.527	Budapest	1187.416	Hanoi	1346.053	Warsaw	764.319	Nicosia	823.716	Warsaw	820.194	Athens	413.086	Athens	375.16	Athens	354.035	Athens	425.137	Athens	418.282	Athens	428.807	Brussels	787.415	Athens	397.742	Athens	414.314	Reykjavik	394.875	Saint_Louis	1383.842	Vilnius	898.671	Dallas	1551.329	Bucharest	1183.524	Athens	1212.479	Athens	1119.154	Athens	393.769	Toronto	1381.525	Toronto	1377.734	Toronto	1398.186	Brussels	1036.188	Stockholm	971.514	Helsinki	967.803	Istanbul	866.358	Athens	398.055	Athens	422.25	Warsaw	735.084	Athens	365.613	Stockholm	996.025	Marseille	373.949	Tallinn	1045.66	Tokyo	974.905	Istanbul	1059.041	Ukraine	1039.442	Tirana	1239.552	Saint_Louis	1767.83	Ukraine	1755.557	Athens	353.301	Tbilisi	1855.691	Tbilisi	1858.097	Atlanta	1439.154	Atlanta	1492.916	Dallas	1493.889	Athens	447.349	Athens	431.781	Hanoi	1391.181	Marseille	819.243	Helsinki	947.657	Istanbul	966.712	Tbilisi	1049.204	Athens	381.282	
Vilnius	759.34	Steinsel	763.279	Warsaw	822.068	Budapest	379.08	Lisbon	1190.472	Auckland	1362.54	Berlin	769.052	Vilnius	825.679	Prague	825.657	Budapest	440.743	Budapest	418.331	Budapest	396.121	Budapest	433.944	Budapest	430.329	Budapest	457.112	Steinsel	788.525	Budapest	443.37	Budapest	441.915	Budapest	432.138	Miami	1385.131	Warsaw	903.485	Miami	1553.041	Sarajevo	1184.737	Phoenix	1213.468	Mexico	1122.996	Budapest	407.487	Buffalo	1390.076	Buffalo	1384.539	Buffalo	1408.245	Stockholm	1036.998	Helsinki	974.869	Buenos_Aires	968.477	Brazil	867.813	Budapest	436.882	Budapest	448.247	Vilnius	738.901	Nicosia	400.234	Istanbul	1002.703	Budapest	405.732	Tbilisi	1059.793	Istanbul	979.48	Ukraine	1059.628	Seoul	1044.231	Dallas	1244.775	Ukraine	1770.999	Saint_Louis	1755.716	Budapest	395.513	Toronto	1884.849	Toronto	1887.751	Reykjavik	1456.09	Nicosia	1505.127	Miami	1507.096	Budapest	467.986	Budapest	456.698	Budapest	1406.514	Tel_Aviv	822.513	Istanbul	950.438	Marseille	967.209	Stockholm	1054.262	Helsinki	383.916	
Ljubljana	762.33	Ljubljana	763.861	Steinsel	824.545	Nicosia	457.247	Helsinki	1197.433	Jakarta	1376.418	Ljubljana	769.512	Prague	825.968	Vilnius	826.237	Nicosia	480.192	Nicosia	435.539	Nicosia	400.347	Nicosia	455.496	Nicosia	459.85	Nicosia	493.311	Lisbon	789.442	Nicosia	481.899	Nicosia	482.008	Nicosia	464.031	Ukraine	1392.699	Istanbul	904.22	Saint_Louis	1560.651	Skopje	1188.515	Bucharest	1214.308	Zagreb	1125.564	Nicosia	448.444	Montreal	1391.166	Montreal	1386.051	Montreal	1409.469	Istanbul	1038.029	Buenos_Aires	975.949	Stockholm	968.913	Warsaw	868.321	Nicosia	462.234	Nicosia	478.103	Ljubljana	739.608	Budapest	407.503	Taipei	1008.193	Nicosia	411.218	Istanbul	1059.909	Ukraine	982.421	London	1062.435	Stockholm	1045.495	Zagreb	1264.187	Reykjavik	1786.198	Reykjavik	1777.328	Nicosia	396.058	Chicago	1889.077	Chicago	1893.94	Nicosia	1459.462	Reykjavik	1505.361	Saint_Louis	1510.95	Nicosia	489.293	Nicosia	477.49	Istanbul	1416.202	Sarajevo	823.538	Warsaw	954.247	Helsinki	968.242	London	1058.098	Nicosia	439.722	
Steinsel	762.383	Prague	765.806	Ljubljana	826.076	Ukraine	551.334	Madrid	1202.599	Sydney	1377.312	Prague	770.046	Ljubljana	827.453	Berlin	827.608	Ukraine	579.997	Ukraine	522.795	Ukraine	486.019	Ukraine	564.039	Ukraine	564.186	Ukraine	577.171	Tbilisi	812.059	Ukraine	569.731	Ukraine	576.777	Ukraine	566.521	Atlanta	1400.396	Tel_Aviv	904.954	Atlanta	1579.254	Chisinau	1190.054	Riga	1214.444	Oslo	1132.378	Ukraine	553.394	Charlotte	1401.882	Tel_Aviv	1393.838	Tel_Aviv	1417.579	Paris	1038.774	Budapest	980.474	Budapest	974.913	Amsterdam	871.076	Ukraine	566.544	Ukraine	573.382	Steinsel	740.531	Ukraine	493.686	Vilnius	1011.324	Ukraine	499.336	Stockholm	1068.416	Vilnius	986.171	Stockholm	1064.574	London	1045.946	Oslo	1265.237	Atlanta	1798.242	Atlanta	1783.67	Ukraine	480.334	Charlotte	1892.556	Charlotte	1896.265	Chicago	1463.667	Chicago	1513.921	Atlanta	1523.341	Ukraine	600.956	Ukraine	590.388	Auckland	1422.701	Belgrade	823.829	Oslo	955.588	Copenhagen	973.428	Brussels	1065.821	Tel_Aviv	515.003	
Prague	765.521	Vilnius	765.866	Prague	827.128	Tbilisi	566.867	Hong_Kong	1214.781	Adelaide	1377.76	Belgrade	774.241	Steinsel	830.202	Ljubljana	829.244	Tel_Aviv	590.089	Tel_Aviv	550.158	Tel_Aviv	502.768	Tbilisi	577.965	Tbilisi	580.477	Tel_Aviv	607.024	Ukraine	815.943	Tel_Aviv	590.637	Tel_Aviv	594.274	Tel_Aviv	575.972	Chicago	1425.116	Oslo	906.489	Istanbul	1580.298	Athens	1192.454	Chisinau	1215.415	Phoenix	1139.178	Tbilisi	565.766	Tel_Aviv	1403.242	Charlotte	1396.459	Charlotte	1419.426	Ukraine	1050.768	Tirana	982.223	Tirana	976.353	Ljubljana	871.089	Tel_Aviv	577.631	Tel_Aviv	587.295	Prague	741.833	Tel_Aviv	511.609	Amsterdam	1011.401	Tbilisi	518.402	London	1071.353	Helsinki	986.578	Marseille	1064.971	Marseille	1046.114	Atlanta	1265.408	Chicago	1817.221	Chicago	1805.313	Tel_Aviv	498.856	Buffalo	1894.656	Buffalo	1898.115	Ukraine	1478.077	Ukraine	1520.395	Istanbul	1536.102	Tel_Aviv	607.653	Tel_Aviv	592.101	Lisbon	1433.475	Berlin	824.253	Vilnius	956.272	Warsaw	977.001	Marseille	1067.27	Tbilisi	516.374	
Nicosia	766.861	Frankfurt	767.347	Frankfurt	830.793	Tel_Aviv	580.543	Tallinn	1217.404	Budapest	1388.491	Zurich	778.067	Zurich	832.404	Steinsel	829.788	Tbilisi	606.337	Tbilisi	554.148	Tbilisi	513.502	Tel_Aviv	582.205	Tel_Aviv	581.928	Tbilisi	610.676	Tel_Aviv	840.497	Tbilisi	605.905	Tbilisi	605.335	Tbilisi	598.217	Toronto	1429.355	Prague	907.914	Budapest	1581.285	Zagreb	1193.892	Sarajevo	1216.924	Los_Angeles	1140.291	Tel_Aviv	573.594	Tbilisi	1411.159	Tbilisi	1402.897	Tbilisi	1425.932	Vilnius	1051.586	Marseille	988.332	Oslo	981.168	Vilnius	871.291	Tbilisi	601.232	Tbilisi	609.542	Frankfurt	744.962	Tbilisi	518.682	Copenhagen	1011.737	Tel_Aviv	526.564	Brussels	1073.802	Copenhagen	986.953	Brussels	1067.469	Brussels	1047.505	Sarajevo	1266.663	Montreal	1828.443	Montreal	1812.521	Tbilisi	509.823	Ukraine	1905.856	Ukraine	1908.361	Toronto	1479.235	Toronto	1532.692	Budapest	1544.662	Tbilisi	628.576	Tbilisi	620.336	Jakarta	1435.292	Oslo	826.335	Ljubljana	957.083	Amsterdam	977.244	Tirana	1067.852	Ukraine	519.713	
