00:29:28.030647 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 2, length 64
00:29:28.369179 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 2, length 64
00:29:29.032109 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 3, length 64
00:29:29.370707 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 3, length 64
00:29:30.033588 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 4, length 64
00:29:30.371935 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 4, length 64
00:29:31.034242 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 5, length 64
00:29:31.372687 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 5, length 64
00:29:32.035578 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 6, length 64
00:29:32.374301 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 6, length 64
00:29:33.037195 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 7, length 64
00:29:33.375751 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 7, length 64
00:29:34.038640 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 8, length 64
00:29:34.377087 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 8, length 64
00:29:35.039983 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 9, length 64
00:29:35.379036 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 9, length 64
00:29:36.040932 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 10, length 64
00:29:36.379420 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 10, length 64
00:29:37.042309 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 11, length 64
00:29:37.381219 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 11, length 64
00:29:38.043114 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 12, length 64
00:29:38.383598 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 12, length 64
00:29:39.044492 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 13, length 64
00:29:39.383197 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 13, length 64
00:29:40.046088 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 14, length 64
00:29:40.384825 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 14, length 64
00:29:41.047706 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 15, length 64
00:29:41.387008 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 15, length 64
00:29:42.048904 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 16, length 64
00:29:42.387608 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 16, length 64
00:29:43.050503 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 17, length 64
00:29:43.388951 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 17, length 64
00:29:44.051826 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 18, length 64
00:29:44.390571 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 18, length 64
00:29:45.053471 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 19, length 64
00:29:45.392221 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 19, length 64
00:29:46.055116 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 20, length 64
00:29:46.393533 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 20, length 64
00:29:47.056140 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 21, length 64
00:29:47.394977 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 21, length 64
00:29:48.057879 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 22, length 64
00:29:48.396488 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 22, length 64
00:29:49.059316 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 23, length 64
00:29:49.397916 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 23, length 64
00:29:50.060814 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 24, length 64
00:29:50.399297 IP 212.102.45.2 > 10.8.0.115: ICMP echo reply, id 1433, seq 24, length 64
00:29:51.062206 IP 10.8.0.115 > 212.102.45.2: ICMP echo request, id 1433, seq 25, length 64
