17:45:34.751350 IP 185.99.3.104 > 10.8.2.5: ICMP echo reply, id 757, seq 1, length 64
17:45:35.521136 IP 10.8.2.5 > 185.99.3.104: ICMP echo request, id 757, seq 2, length 64
17:45:35.954054 IP 185.99.3.104 > 10.8.2.5: ICMP echo reply, id 757, seq 2, length 64
17:45:36.521898 IP 10.8.2.5 > 185.99.3.104: ICMP echo request, id 757, seq 3, length 64
17:45:36.955404 IP 185.99.3.104 > 10.8.2.5: ICMP echo reply, id 757, seq 3, length 64
17:45:37.523231 IP 10.8.2.5 > 185.99.3.104: ICMP echo request, id 757, seq 4, length 64
17:45:37.958862 IP 185.99.3.104 > 10.8.2.5: ICMP echo reply, id 757, seq 4, length 64
17:45:38.524662 IP 10.8.2.5 > 185.99.3.104: ICMP echo request, id 757, seq 5, length 64
17:45:38.960389 IP 185.99.3.104 > 10.8.2.5: ICMP echo reply, id 757, seq 5, length 64
17:45:39.526189 IP 10.8.2.5 > 185.99.3.104: ICMP echo request, id 757, seq 6, length 64
17:45:39.959929 IP 185.99.3.104 > 10.8.2.5: ICMP echo reply, id 757, seq 6, length 64
17:45:40.527733 IP 10.8.2.5 > 185.99.3.104: ICMP echo request, id 757, seq 7, length 64
17:45:40.973162 IP 185.99.3.104 > 10.8.2.5: ICMP echo reply, id 757, seq 7, length 64
17:45:41.528948 IP 10.8.2.5 > 185.99.3.104: ICMP echo request, id 757, seq 8, length 64
17:45:42.555257 IP 10.8.2.5 > 185.99.3.104: ICMP echo request, id 757, seq 9, length 64
17:45:43.368234 IP 185.99.3.104 > 10.8.2.5: ICMP echo reply, id 757, seq 8, length 64
17:45:43.369111 IP 185.99.3.104 > 10.8.2.5: ICMP echo reply, id 757, seq 9, length 64
17:45:43.554533 IP 10.8.2.5 > 185.99.3.104: ICMP echo request, id 757, seq 10, length 64
17:45:43.987932 IP 185.99.3.104 > 10.8.2.5: ICMP echo reply, id 757, seq 10, length 64
17:45:44.555731 IP 10.8.2.5 > 185.99.3.104: ICMP echo request, id 757, seq 11, length 64
17:45:44.989112 IP 185.99.3.104 > 10.8.2.5: ICMP echo reply, id 757, seq 11, length 64
17:45:45.556915 IP 10.8.2.5 > 185.99.3.104: ICMP echo request, id 757, seq 12, length 64
17:45:45.990242 IP 185.99.3.104 > 10.8.2.5: ICMP echo reply, id 757, seq 12, length 64
17:45:46.558044 IP 10.8.2.5 > 185.99.3.104: ICMP echo request, id 757, seq 13, length 64
17:45:46.991944 IP 185.99.3.104 > 10.8.2.5: ICMP echo reply, id 757, seq 13, length 64
