00:33:18.380039 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 4, length 64
00:33:18.793360 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 4, length 64
00:33:19.381178 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 5, length 64
00:33:19.794798 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 5, length 64
00:33:20.382622 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 6, length 64
00:33:20.801581 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 6, length 64
00:33:21.383396 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 7, length 64
00:33:21.796865 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 7, length 64
00:33:22.384686 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 8, length 64
00:33:22.797891 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 8, length 64
00:33:23.385709 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 9, length 64
00:33:23.798879 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 9, length 64
00:33:24.386704 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 10, length 64
00:33:24.799927 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 10, length 64
00:33:25.387746 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 11, length 64
00:33:25.801142 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 11, length 64
00:33:26.388965 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 12, length 64
00:33:26.802193 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 12, length 64
00:33:27.390013 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 13, length 64
00:33:27.803224 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 13, length 64
00:33:28.391039 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 14, length 64
00:33:28.804187 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 14, length 64
00:33:29.391996 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 15, length 64
00:33:29.805442 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 15, length 64
00:33:30.393263 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 16, length 64
00:33:30.806422 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 16, length 64
00:33:31.394242 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 17, length 64
00:33:31.807473 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 17, length 64
00:33:32.395304 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 18, length 64
00:33:32.808466 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 18, length 64
00:33:33.396286 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 19, length 64
00:33:33.809665 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 19, length 64
00:33:34.397477 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 20, length 64
00:33:34.810504 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 20, length 64
00:33:35.398327 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 21, length 64
00:33:35.811344 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 21, length 64
00:33:36.399182 IP 10.8.3.8 > 192.145.117.100: ICMP echo request, id 2283, seq 22, length 64
00:33:36.812578 IP 192.145.117.100 > 10.8.3.8: ICMP echo reply, id 2283, seq 22, length 64
