23:42:51.497070 IP 165.73.240.43 > 10.8.1.27: ICMP echo reply, id 1261, seq 1, length 64
23:42:52.321506 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 2, length 64
23:42:52.776935 IP 165.73.240.43 > 10.8.1.27: ICMP echo reply, id 1261, seq 2, length 64
23:42:53.322768 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 3, length 64
23:42:53.778522 IP 165.73.240.43 > 10.8.1.27: ICMP echo reply, id 1261, seq 3, length 64
23:42:54.324315 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 4, length 64
23:42:54.780172 IP 165.73.240.43 > 10.8.1.27: ICMP echo reply, id 1261, seq 4, length 64
23:42:55.324916 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 5, length 64
23:42:55.780807 IP 165.73.240.43 > 10.8.1.27: ICMP echo reply, id 1261, seq 5, length 64
23:42:56.325587 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 6, length 64
23:42:56.782606 IP 165.73.240.43 > 10.8.1.27: ICMP echo reply, id 1261, seq 6, length 64
23:42:57.326393 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 7, length 64
23:42:57.781382 IP 165.73.240.43 > 10.8.1.27: ICMP echo reply, id 1261, seq 7, length 64
23:42:58.327169 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 8, length 64
23:42:58.782591 IP 165.73.240.43 > 10.8.1.27: ICMP echo reply, id 1261, seq 8, length 64
23:42:59.328374 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 9, length 64
23:42:59.783828 IP 165.73.240.43 > 10.8.1.27: ICMP echo reply, id 1261, seq 9, length 64
23:43:00.329611 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 10, length 64
23:43:00.785829 IP 165.73.240.43 > 10.8.1.27: ICMP echo reply, id 1261, seq 10, length 64
23:43:01.330622 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 11, length 64
23:43:01.786648 IP 165.73.240.43 > 10.8.1.27: ICMP echo reply, id 1261, seq 11, length 64
23:43:02.331439 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 12, length 64
23:43:02.787680 IP 165.73.240.43 > 10.8.1.27: ICMP echo reply, id 1261, seq 12, length 64
23:43:03.332222 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 13, length 64
23:43:03.789082 IP 165.73.240.43 > 10.8.1.27: ICMP echo reply, id 1261, seq 13, length 64
23:43:04.332878 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 14, length 64
23:43:04.788131 IP 165.73.240.43 > 10.8.1.27: ICMP echo reply, id 1261, seq 14, length 64
23:43:05.333903 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 15, length 64
23:43:06.368197 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 16, length 64
23:43:07.388209 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 17, length 64
23:43:08.412221 IP 10.8.1.27 > 165.73.240.43: ICMP echo request, id 1261, seq 18, length 64
