00:02:59.696612 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 1, length 64
00:03:01.156219 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 2, length 64
00:03:01.555220 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 2, length 64
00:03:02.157053 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 3, length 64
00:03:02.556187 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 3, length 64
00:03:03.158038 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 4, length 64
00:03:03.556790 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 4, length 64
00:03:04.159627 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 5, length 64
00:03:04.558402 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 5, length 64
00:03:05.161236 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 6, length 64
00:03:05.560413 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 6, length 64
00:03:06.162249 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 7, length 64
00:03:06.561199 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 7, length 64
00:03:07.163032 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 8, length 64
00:03:07.561868 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 8, length 64
00:03:08.163708 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 9, length 64
00:03:08.562476 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 9, length 64
00:03:09.165314 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 10, length 64
00:03:09.564288 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 10, length 64
00:03:10.166124 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 11, length 64
00:03:10.565322 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 11, length 64
00:03:11.167181 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 12, length 64
00:03:11.566559 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 12, length 64
00:03:12.168402 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 13, length 64
00:03:12.567273 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 13, length 64
00:03:13.169110 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 14, length 64
00:03:13.568024 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 14, length 64
00:03:14.169861 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 15, length 64
00:03:14.568809 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 15, length 64
00:03:15.170633 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 16, length 64
00:03:15.569874 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 16, length 64
00:03:16.171709 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 17, length 64
00:03:16.570644 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 17, length 64
00:03:17.172477 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 18, length 64
00:03:17.571384 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 18, length 64
00:03:18.173211 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 19, length 64
00:03:18.572224 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 19, length 64
00:03:19.174053 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 20, length 64
00:03:19.572852 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 20, length 64
00:03:20.175246 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 21, length 64
00:03:20.574926 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 21, length 64
00:03:21.176758 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 22, length 64
00:03:21.575763 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 22, length 64
00:03:22.177604 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 23, length 64
00:03:22.576737 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 23, length 64
00:03:23.178550 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 24, length 64
00:03:23.577547 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 24, length 64
00:03:24.179387 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 25, length 64
00:03:24.578557 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 25, length 64
00:03:25.180390 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 26, length 64
00:03:25.580793 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 26, length 64
00:03:26.181630 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 27, length 64
00:03:26.581043 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 27, length 64
00:03:27.182881 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 28, length 64
00:03:27.582045 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 28, length 64
00:03:28.183884 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 29, length 64
00:03:28.582597 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 29, length 64
00:03:29.185437 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 30, length 64
00:03:29.584291 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 30, length 64
00:03:30.186130 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 31, length 64
00:03:30.585268 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 31, length 64
00:03:31.187104 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 32, length 64
00:03:31.586327 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 32, length 64
00:03:32.188161 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 33, length 64
00:03:32.587194 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 33, length 64
00:03:33.189033 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 34, length 64
00:03:33.588517 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 34, length 64
00:03:34.190367 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 35, length 64
00:03:34.589754 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 35, length 64
00:03:35.191588 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 36, length 64
00:03:35.590974 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 36, length 64
00:03:36.192803 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 37, length 64
00:03:36.591768 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 37, length 64
00:03:37.193611 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 38, length 64
00:03:37.592643 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 38, length 64
00:03:38.194480 IP 10.8.2.6 > 212.102.45.2: ICMP echo request, id 2170, seq 39, length 64
00:03:38.593424 IP 212.102.45.2 > 10.8.2.6: ICMP echo reply, id 2170, seq 39, length 64
