01:13:48.894167 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 1, length 64
01:13:49.356541 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 1, length 64
01:13:49.893923 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 2, length 64
01:13:50.351378 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 2, length 64
01:13:50.894199 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 3, length 64
01:13:51.354147 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 3, length 64
01:13:51.893931 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 4, length 64
01:13:52.357211 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 4, length 64
01:13:52.893982 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 5, length 64
01:13:53.351639 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 5, length 64
01:13:53.894428 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 6, length 64
01:13:54.353331 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 6, length 64
01:13:54.894125 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 7, length 64
01:13:55.354570 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 7, length 64
01:13:55.894386 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 8, length 64
01:13:56.352993 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 8, length 64
01:13:56.894776 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 9, length 64
01:13:57.352232 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 9, length 64
01:13:57.894995 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 10, length 64
01:13:58.355681 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 10, length 64
01:13:58.895458 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 11, length 64
01:13:59.358710 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 11, length 64
01:13:59.895479 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 12, length 64
01:14:00.924197 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 13, length 64
01:14:01.381942 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 13, length 64
01:14:01.924720 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 14, length 64
01:14:02.382185 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 14, length 64
01:14:02.924956 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 15, length 64
01:14:03.387052 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 15, length 64
01:14:03.924826 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 16, length 64
01:14:04.387880 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 16, length 64
01:14:04.924649 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 17, length 64
01:14:05.382291 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 17, length 64
01:14:05.925064 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 18, length 64
01:14:06.392563 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 18, length 64
01:14:06.925324 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 19, length 64
01:14:07.386755 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 19, length 64
01:14:07.925524 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 20, length 64
01:14:08.384422 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 20, length 64
01:14:08.925193 IP 10.8.2.2 > 84.17.41.130: ICMP echo request, id 1598, seq 21, length 64
01:14:09.382667 IP 84.17.41.130 > 10.8.2.2: ICMP echo reply, id 1598, seq 21, length 64
