00:59:53.413814 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 1, length 64
01:00:00.217839 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 2, length 64
01:00:00.723349 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 2, length 64
01:00:01.219080 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 3, length 64
01:00:01.722879 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 3, length 64
01:00:02.220162 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 4, length 64
01:00:02.727654 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 4, length 64
01:00:03.221382 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 5, length 64
01:00:03.726921 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 5, length 64
01:00:04.222646 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 6, length 64
01:00:04.727785 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 6, length 64
01:00:05.223473 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 7, length 64
01:00:05.728912 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 7, length 64
01:00:06.224651 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 8, length 64
01:00:06.730253 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 8, length 64
01:00:07.225991 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 9, length 64
01:00:07.733026 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 9, length 64
01:00:08.226754 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 10, length 64
01:00:08.732244 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 10, length 64
01:00:09.227972 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 11, length 64
01:00:09.732240 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 11, length 64
01:00:10.228965 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 12, length 64
01:00:10.735086 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 12, length 64
01:00:11.229820 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 13, length 64
01:00:11.736307 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 13, length 64
01:00:12.231040 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 14, length 64
01:00:12.736250 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 14, length 64
01:00:13.231983 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 15, length 64
01:00:13.737123 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 15, length 64
01:00:14.232854 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 16, length 64
01:00:14.738912 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 16, length 64
01:00:15.233659 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 17, length 64
01:00:15.737593 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 17, length 64
01:00:16.234324 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 18, length 64
01:00:16.746358 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 18, length 64
01:00:17.235090 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 19, length 64
01:00:17.740390 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 19, length 64
01:00:18.236116 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 20, length 64
01:00:18.740194 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 20, length 64
01:00:19.236930 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 21, length 64
01:00:19.743197 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 21, length 64
01:00:20.237925 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 22, length 64
01:00:20.741485 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 22, length 64
01:00:21.239224 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 23, length 64
01:00:21.744886 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 23, length 64
01:00:22.240625 IP 10.8.1.2 > 192.145.118.100: ICMP echo request, id 1547, seq 24, length 64
01:00:22.746284 IP 192.145.118.100 > 10.8.1.2: ICMP echo reply, id 1547, seq 24, length 64
