07:58:53.386032 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 1, length 64
07:58:58.465491 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 2, length 64
07:58:58.622970 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 2, length 64
07:58:59.467080 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 3, length 64
07:58:59.624766 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 3, length 64
07:59:00.468865 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 4, length 64
07:59:00.626136 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 4, length 64
07:59:01.470213 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 5, length 64
07:59:01.627460 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 5, length 64
07:59:02.471547 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 6, length 64
07:59:02.628790 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 6, length 64
07:59:03.472871 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 7, length 64
07:59:04.478234 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 8, length 64
07:59:04.635577 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 8, length 64
07:59:05.479679 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 9, length 64
07:59:05.637141 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 9, length 64
07:59:06.481236 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 10, length 64
07:59:06.638897 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 10, length 64
07:59:07.482202 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 11, length 64
07:59:08.510221 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 12, length 64
07:59:08.667264 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 12, length 64
07:59:09.511357 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 13, length 64
07:59:09.668881 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 13, length 64
07:59:10.512972 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 14, length 64
07:59:10.670474 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 14, length 64
07:59:11.514568 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 15, length 64
07:59:11.671681 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 15, length 64
07:59:12.515778 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 16, length 64
07:59:12.672695 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 16, length 64
07:59:13.516787 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 17, length 64
07:59:14.526211 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 18, length 64
07:59:14.683937 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 18, length 64
07:59:15.528036 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 19, length 64
07:59:15.685398 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 19, length 64
07:59:16.529489 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 20, length 64
07:59:16.687009 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 20, length 64
07:59:17.531103 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 21, length 64
07:59:17.688162 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 21, length 64
07:59:18.532219 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 22, length 64
07:59:18.689810 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 22, length 64
07:59:19.533906 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 23, length 64
07:59:19.690992 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 23, length 64
07:59:20.535092 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 24, length 64
07:59:20.692046 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 24, length 64
07:59:21.536152 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 25, length 64
07:59:21.693461 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 25, length 64
07:59:22.537552 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 26, length 64
07:59:22.696727 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 26, length 64
07:59:23.538214 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 27, length 64
07:59:23.695694 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 27, length 64
07:59:24.539771 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 28, length 64
07:59:24.697344 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 28, length 64
07:59:25.541425 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 29, length 64
07:59:25.698691 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 29, length 64
07:59:26.542785 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 30, length 64
07:59:26.699939 IP 202.87.221.198 > 10.8.0.2: ICMP echo reply, id 804, seq 30, length 64
07:59:27.544030 IP 10.8.0.2 > 202.87.221.198: ICMP echo request, id 804, seq 31, length 64
