	Ashburn_VA3		Ashburn_VA5		Atlanta_GA		Austria_Vienna2		Brazil_Fortaleza1		Brazil_Rio_de_Janeiro		Canada_Toronto		Chicago_IL2		Chicago_IL3		Czech_Republic_Prague		Denmark_Copenhagen		Finland_Helsinki		France_Marseille		France_Marseille2		France_Paris10		Germany_Berlin		Germany_Düsseldorf1		Germany_Frankfurt2		Germany_Frankfurt5		Hong_Kong		Houston_TX		India_Bangalore1		India_Chennai		India_Hyderabad1		India_Mumbai		Italy_Milan2		Japan_Tokyo1		Japan_Tokyo3		Japan_Tokyo5		Los_Angeles_CA		Mexico_Queretaro1		Mexico_Queretaro2		Miami_FL5		Netherlands_Amsterdam2		Netherlands_Amsterdam3		New_York_NY		Norway_Oslo		Phoenix_AZ		Poland_Warsaw		Portland_OR		Salt_Lake_City_UT		San_Francisco_CA		San_Jose_CA5		Singapore		South_Korea_Seoul1		South_Korea_Seoul3		Sweden_Stockholm		Sydney1		Sydney2		Taiwan_Taipei1		Taiwan_Taipei3		Thailand_Bangkok		UK_London3		UK_London4		Brazil_Sao_Paulo		Canada_Quebec		Dallas_TX		Denver_Co		Seattle_WA		Spain_Madrid	
Manassas	188.057	Manassas	176.557	Charlotte	8.034	Bratislava	7.647	Brazil	4485.29	Brazil	2094.995	Chicago	703.764	Chicago	9.525	Chicago	7.108	Belgrade	8.413	Copenhagen	150.943	Helsinki	6.991	Marseille	7.832	Marseille	7.832	Paris	268.545	Belgrade	380.774	Brussels	260.908	Belgrade	8.413	Belgrade	90.692	Hong_Kong	8.029	Dallas	414.065	Mumbai	5829.742	Mumbai	1285.609	Mumbai	1518.409	Mumbai	6.233	Zurich	7.277	Tokyo	34.91	Tokyo	36.7	Tokyo	8.951	Los_Angeles	9.798	Dallas	1976.029	Dallas	2041.444	Miami	12.162	Brussels	97.248	Brussels	8.785	New_York	334.253	Oslo	340.051	Phoenix	7.849	Warsaw	249.697	Seattle	297.098	Salt_Lake_City	1111.56	San_Francisco	751.012	San_Francisco	7.778	Kuala_Lumpur	58.392	Seoul	15.823	Seoul	6.063	Helsinki	10.137	Sydney	99.638	Sydney	95.392	Hong_Kong	1884.956	Hong_Kong	1700.13	Bangkok	178.656	Brussels	453.119	Brussels	504.861	Brazil	2111.903	Toronto	386.442	Dallas	8.596	Salt_Lake_City	1084.673	Vancouver	282.055	Paris	6.168	
Charlotte	758.85	Charlotte	741.497	Atlanta	629.419	Belgrade	8.413	Miami	5483.119	Buenos_Aires	2315.784	Toronto	795.801	Saint_Louis	518.726	Saint_Louis	560.843	Brussels	393.646	Helsinki	560.001	Oslo	312.446	Zurich	881.241	Zurich	828.774	Marseille	765.297	Sofia	597.23	Belgrade	548.361	Sofia	255.464	Sofia	624.801	Kuala_Lumpur	2780.088	Charlotte	1094.09	Hong_Kong	5893.248	Jakarta	3746.869	Hanoi	4895.761	Jakarta	6039.377	Milan	140.083	Taipei	2087.904	Taipei	2001.55	Taipei	2211.853	Phoenix	711.538	Chicago	3226.896	Chicago	3238.411	Charlotte	1120.842	Amsterdam	482.985	Amsterdam	492.137	Manassas	564.421	Helsinki	387.456	Los_Angeles	1046.836	Helsinki	568.25	Vancouver	309.835	Vancouver	1573.021	Los_Angeles	789.83	Los_Angeles	960.514	Jakarta	1013.392	Taipei	5251.839	Taipei	5204.796	Oslo	311.49	Auckland	2006.955	Auckland	2016.878	Taipei	3694.086	Taipei	3498.054	Hanoi	4441.321	Paris	639.783	Paris	705.655	Santiago	4735.016	Chicago	515.9	Atlanta	9.954	Dallas	1324.201	Seattle	451.539	Madrid	7.622	
New_York	776.203	New_York	742.293	Miami	1013.039	Sofia	418.245	Charlotte	6621.74	Santiago	4955.58	Montreal	855.075	Montreal	1672.793	Montreal	1524.007	Sofia	523.539	Stockholm	891.443	Stockholm	313.495	Paris	911.042	Paris	917.148	Brussels	956.048	Copenhagen	768.443	Amsterdam	651.553	Zurich	377.456	Zurich	654.927	Taipei	3275.99	Kansas_City	1304.298	Hanoi	6342.864	Bangkok	4875.933	Singapore	6155.448	Hanoi	6400.95	Marseille	542.568	Hong_Kong	4016.481	Hong_Kong	4010.459	Hong_Kong	3730.089	San_Francisco	1478.3	Phoenix	4409.496	Phoenix	4394.661	Atlanta	2023.936	Belgrade	579.658	Paris	795.334	Montreal	1095.329	Stockholm	749.163	Dallas	1957.892	Belgrade	1144.509	San_Francisco	1972.933	Phoenix	1916.875	Seattle	1380.384	Seattle	1375.67	Singapore	2083.939	Hanoi	5302.436	Hong_Kong	6411.275	Stockholm	316.548	Perth	4229.736	Perth	4099.802	Seoul	3862.433	Seoul	3854.794	Hong_Kong	4780.516	Nicosia	947.705	Nicosia	929.132	Buenos_Aires	5650.337	New_York	627.589	Kansas_City	1049.823	Chicago	1601.862	San_Francisco	1943.531	Prague	831.734	
Montreal	1344.993	Montreal	1328.24	Manassas	1201.317	Zurich	655.946	Chicago	6951.424	Miami	8674.34	New_York	1170.576	Kansas_City	1692.395	Toronto	1601.448	Zurich	605.88	Brussels	957.453	Copenhagen	816.927	Nicosia	1033.575	Nicosia	1020.49	Belgrade	1092.432	Helsinki	870.693	Sofia	664.836	Brussels	404.451	Brussels	745.652	Jakarta	3541.741	Phoenix	1965.305	Kuala_Lumpur	6571.534	Hong_Kong	5001.392	Jakarta	6764.364	Paris	7086.093	Belgrade	578.816	Hanoi	5225.415	Hanoi	5858.669	Kuala_Lumpur	6381.045	Salt_Lake_City	1884.733	Manassas	4657.917	Manassas	4660.979	Manassas	2310.633	Sofia	749.893	Sofia	863.986	Chicago	1131.809	Copenhagen	966.352	San_Francisco	2427.352	Vilnius	1360.165	Salt_Lake_City	2548.194	San_Francisco	1962.899	Phoenix	1442.15	Vancouver	1500.038	Bangkok	2265.481	Hong_Kong	6434.399	Tokyo	6865.442	Copenhagen	829.21	Adelaide	7589.928	Adelaide	7523.945	Tokyo	4169.231	Hanoi	4051.944	Kuala_Lumpur	5313.111	Amsterdam	959.674	Belgrade	963.04	Miami	8391.415	Montreal	838.25	Charlotte	1237.891	Atlanta	1618.193	Salt_Lake_City	2626.609	Budapest	1273.242	
Chicago	1485.788	Miami	1752.427	Dallas	1461.392	Prague	1057.984	Santiago	7561.227	Chicago	9407.101	Saint_Louis	1285.269	Toronto	1732.826	Kansas_City	1689.856	Paris	785.466	Oslo	985.088	Tallinn	1533.69	Madrid	1133.882	Belgrade	1086.964	Amsterdam	1114.222	Warsaw	968.819	Zurich	828.192	Paris	778.373	Paris	884.89	Hanoi	3772.475	Mexico	1969.677	Jakarta	7065.849	Singapore	5175.464	Bangkok	8022.108	Bangkok	7272.505	Bratislava	825.295	Kuala_Lumpur	6292.288	Kuala_Lumpur	6217.459	Hanoi	7347.058	Seattle	2121.951	Los_Angeles	4864.201	Montreal	4761.943	Chicago	2630.178	Paris	881.005	Zurich	1063.311	Charlotte	1323.207	Brussels	1545.858	Kansas_City	2545.362	Copenhagen	1427.707	Phoenix	2581.475	Dallas	2203.477	Vancouver	1465.594	Phoenix	2382.338	Hanoi	2375.13	Tokyo	6893.728	Hanoi	8568.649	Tallinn	1512.407	Brisbane	7675.486	Brisbane	7675.172	Kuala_Lumpur	4356.858	Tokyo	4194.295	Jakarta	5799.316	Belgrade	1007.376	Amsterdam	1006.993	Chicago	9533.268	Atlanta	922.477	Chicago	1388.764	Kansas_City	1731.858	Chicago	2830.98	Lisbon	1447.6	
Miami	1916.389	Chicago	1764.138	Chicago	1711.183	Milan	1141.643	Saint_Louis	8276.973	Mexico	10428.109	Manassas	1393.594	New_York	1745.916	Dallas	1859.039	Milan	864.002	Sofia	1156.845	Warsaw	1539.366	Belgrade	1149.472	Madrid	1137.617	Zurich	1241.305	Prague	1145.286	Copenhagen	952.118	Milan	863.134	Prague	946.368	Tokyo	4213.898	Chicago	1970.555	Taipei	7671.947	Hanoi	5476.125	Hong_Kong	8077.523	Hong_Kong	7283.861	Nicosia	994.439	Bangkok	7760.662	Bangkok	7431.71	Seoul	7755.665	Vancouver	2247.689	Montreal	4938.89	Los_Angeles	4881.838	Dallas	2686.911	Copenhagen	993.087	Copenhagen	1149.955	Toronto	1630.487	Amsterdam	1632.323	Salt_Lake_City	2779.809	Sofia	1523.396	Los_Angeles	2594.456	Chicago	2259.566	Salt_Lake_City	2432.516	Salt_Lake_City	2430.614	Hong_Kong	2574.723	Kuala_Lumpur	8947.2	Kuala_Lumpur	9010.091	Warsaw	1581.874	Melbourne	8003.453	Melbourne	7943.264	Jakarta	4793.539	Kuala_Lumpur	4198.29	Taipei	6800.275	Marseille	1287.659	Sofia	1262.14	New_York	9944.964	Saint_Louis	1255.291	Mexico	1471.451	Mexico	2716.712	Dallas	3677.419	Steinsel	1853.937	
Toronto	2044.975	Atlanta	1901.596	New_York	1814.946	Warsaw	1176.469	Manassas	8554.504	Charlotte	10619.72	Charlotte	2233.57	Dallas	1809.01	Manassas	1879.83	Bratislava	888.692	Amsterdam	1216.713	Vilnius	1701.971	Milan	1319.665	Milan	1314.854	Madrid	1253.627	Brussels	1259.386	Paris	980.368	Bratislava	864.144	Nicosia	987.686	Bangkok	4628.381	Atlanta	1981.629	Bangkok	7866.417	Perth	6783.173	Taipei	8386.768	Singapore	7627.827	Sofia	1113.73	Seoul	7788.403	Seoul	7992.834	Mumbai	8174.89	Dallas	3147.996	Mexico	4995.629	Mexico	4982.193	New_York	2751.874	Zurich	1072.407	Nicosia	1248.19	Saint_Louis	2068.614	Vilnius	1711.758	Chicago	3026.024	Oslo	1642.876	Chicago	3259.806	Kansas_City	2335.043	Denver	2661.201	Denver	2612.702	Mumbai	3617.107	Jakarta	9961.161	Jakarta	9960.912	Vilnius	1696.856	Kuala_Lumpur	8019.754	Kuala_Lumpur	8019.149	Hanoi	4845.363	Jakarta	4929.629	Mumbai	7337.867	Sofia	1312.734	Marseille	1352.974	Montreal	10205.223	Manassas	1712.787	Saint_Louis	1956.475	Saint_Louis	2762.544	Saint_Louis	3830.345	Oslo	2331.52	
Atlanta	2070.721	Saint_Louis	2126.423	Kansas_City	2168.266	Vienna	1209.832	Kansas_City	8735.143	Montreal	10733.353	Kansas_City	2554.209	Manassas	1843.095	Charlotte	1915.682	Amsterdam	911.577	Belgrade	1227.04	Sofia	1712.134	Bratislava	1346.152	Sofia	1327.619	Sofia	1376.746	Amsterdam	1281.037	Milan	1087.85	Amsterdam	1148.948	Amsterdam	1058.076	Singapore	5193.268	Miami	2056.635	Singapore	9015.801	Taipei	7597.485	Warsaw	9372.003	Vienna	8200.04	Brussels	1328.083	Mumbai	8172.148	Mumbai	8049.421	Bangkok	8347.627	Denver	3185.309	San_Francisco	5141.263	San_Francisco	5133.329	Kansas_City	3136.162	Nicosia	1293.959	Belgrade	1355.423	Miami	2303.225	Warsaw	1760.993	Seattle	3055.745	Bratislava	1647.456	Denver	3649.783	Seattle	2367.517	Dallas	3373.037	Dallas	3288.281	Perth	3961.535	Bangkok	10256.205	Mumbai	10655.044	Sofia	1742.124	Bangkok	11901.785	Bangkok	11777.723	Bangkok	5816.696	Bangkok	5568.654	Singapore	7729.471	Zurich	1433.636	Dublin	1424.988	Mexico	10698.997	Charlotte	2138.774	Miami	2211.324	San_Francisco	2771.627	Denver	3988.248	Sofia	2398.087	
Saint_Louis	2096.667	Toronto	2184.379	Mexico	2456.83	Sarajevo	1416.281	New_York	8822.485	Saint_Louis	10885.631	Dallas	2771.323	Charlotte	1943.157	New_York	2003.526	Vilnius	1177.946	Warsaw	1267.581	Belgrade	1851.287	Sofia	1397.131	Bratislava	1377.889	Milan	1520.797	Zurich	1355.699	Bratislava	1114.822	Copenhagen	1172.065	Vilnius	1064.344	Mumbai	5972.789	Saint_Louis	2133.085	Perth	10253.97	Paris	8443.928	Vienna	9428.557	Warsaw	8725.932	Paris	1454.361	Seattle	8562.511	Singapore	9110.192	Chicago	8869.45	Kansas_City	3350.25	Kansas_City	5187.421	Kansas_City	5242.424	Montreal	3381.09	Warsaw	1380.552	Bratislava	1405.648	Buffalo	2467.038	Zurich	1935.383	Vancouver	3112.16	Zurich	1723.259	Dallas	3713.092	Los_Angeles	2611.211	Kansas_City	3631.726	Kansas_City	3625.264	Taipei	5406.18	Mumbai	10643.326	Bangkok	10674.649	Belgrade	1854.064	Taipei	13369.434	Taipei	13838.999	Singapore	6525.568	Singapore	6602.155	Perth	8906.247	Dublin	1441.451	Zurich	1428.251	Charlotte	10868.037	Kansas_City	2799.76	Salt_Lake_City	2321.334	Charlotte	2823.394	Phoenix	4004.787	Marseille	2517.757	
Dallas	2650.035	Dallas	2508.46	Montreal	2491.652	Athens	1423.95	Atlanta	8825.402	Manassas	11172.83	Miami	3125.62	Atlanta	3012.212	Miami	2901.607	Copenhagen	1197.644	Vilnius	1516.082	Brussels	1854.995	Brussels	1945.126	Brussels	1939.592	Bratislava	1652.579	Oslo	1363.645	Prague	1210.15	Vilnius	1177.278	Milan	1149.688	Perth	6599.157	Manassas	2312.288	Tokyo	10570.908	Warsaw	9627.97	Perth	9871.482	Milan	8800.527	Amsterdam	1473.946	Singapore	9051.127	Vancouver	10021.826	Singapore	9871.439	Mexico	3367.195	New_York	5460.755	New_York	5376.846	Saint_Louis	3382.306	Vilnius	1394.863	Helsinki	1457.47	Atlanta	2675.652	Tallinn	1940.129	Charlotte	3280.182	Stockholm	1853.23	Kansas_City	3766.117	Saint_Louis	3009.176	Chicago	4044.389	Chicago	3810.677	Tokyo	7185.181	Singapore	12470.286	Singapore	12378.063	Amsterdam	1855.998	Hong_Kong	15686.316	Hong_Kong	15679.812	Mumbai	6819.722	Mumbai	6924.685	Tokyo	9079.359	Copenhagen	1481.465	Vilnius	1656.931	Saint_Louis	10917.607	Dallas	2810.005	Phoenix	2541.6	Vancouver	2836.367	Kansas_City	4056.594	Amsterdam	2576.679	
